Place,City,State,Lat,Long,Year,cnt
High School,Angola,IN,41.634781,-85.003998,<2000,18
High School,Charlevoix,MI,45.26823,-85.20112,<2000,14
College,Gambier,OH,40.375931,-82.39521,2000-2004,4
1stJob!,San Francisco,CA,37.774929,-122.419418,2004-2005,1
ClevelandGolf,Huntington Beach,CA,33.659485,-117.998802,2005-2012,7
Titleist/Cobra,Carlsbad,CA,33.166039,-117.337929,2012-2017,5
CornHuskin,Lincoln,NE,40.80867,-96.707032,2018-2021,3
Chicago,Chicago,IL,41.86374488,-87.61597499,2022-Present,1
,,,,,,
,,,,,,
,,, ,,,
